date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_friendly,match_id,home_form_goals_scored_8,away_form_goals_scored_8,home_form_goals_conceded_8,away_form_goals_conceded_8,home_form_win_rate_8,away_form_win_rate_8,home_form_clean_sheet_rate_8,away_form_clean_sheet_rate_8
2010-06-23,Ghana,Germany,0.0,1.0,FIFA World Cup,Johannesburg,South Africa,True,False,127,0.8404896300511243,1.8378378378378377,0.6300821986534074,0.5405405405405405,0.5364486214528428,0.45945945945945943,0.5364486214528428,0.45945945945945943
2010-06-23,Slovenia,England,0.0,1.0,FIFA World Cup,Port Elizabeth,South Africa,True,False,128,1.5405405405405403,0.45945945945945943,1.081081081081081,0.45945945945945943,0.45945945945945943,0.0,0.45945945945945943,0.5405405405405405
2010-06-23,United States,Algeria,1.0,0.0,FIFA World Cup,Pretoria,South Africa,True,False,129,1.5405405405405403,0.40064803260383697,1.5405405405405403,1.2442608596611975,0.0,0.1853905268395189,0.0,0.3754290955913876
2010-06-24,Cameroon,Netherlands,1.0,2.0,FIFA World Cup,Cape Town,South Africa,True,False,130,1.0877655705443552,1.4594594594594592,1.8624376170133723,0.0,0.1257138582441196,0.9999999999999999,0.0,0.9999999999999999
2010-06-24,Denmark,Japan,1.0,3.0,FIFA World Cup,Rustenburg,South Africa,True,False,131,1.081081081081081,1.2377987701412412,1.4594594594594592,0.7940578620210392,0.5405405405405405,0.5456812810534462,0.0,0.5603751769451741
2010-06-24,Paraguay,New Zealand,0.0,0.0,FIFA World Cup,Polokwane,South Africa,True,False,132,1.5405405405405403,0.9999999999999999,0.45945945945945943,0.9999999999999999,0.5405405405405405,0.0,0.5405405405405405,0.0
2010-06-24,Slovakia,Italy,3.0,2.0,FIFA World Cup,Johannesburg,South Africa,True,False,133,0.45945945945945943,0.9999999999999999,1.5405405405405403,0.9999999999999999,0.0,0.0,0.0,0.0
2010-06-25,Chile,Spain,1.0,2.0,FIFA World Cup,Pretoria,South Africa,True,False,134,0.9999999999999999,1.081081081081081,0.0,0.45945945945945943,0.9999999999999999,0.5405405405405405,0.9999999999999999,0.5405405405405405
2010-06-25,North Korea,Ivory Coast,0.0,3.0,FIFA World Cup,Nelspruit,South Africa,True,False,135,1.727907939182133,1.1560531934794,2.3760610836805207,1.5589646449751509,0.27361251500190736,0.1655934382799584,0.27361251500190736,0.36994949282164413
2010-06-25,Portugal,Brazil,0.0,0.0,FIFA World Cup,Durban,South Africa,True,False,136,3.7837837837837833,2.5405405405405403,0.0,0.9999999999999999,0.5405405405405405,0.9999999999999999,0.9999999999999999,0.0
2010-06-25,Switzerland,Honduras,0.0,0.0,FIFA World Cup,Bloemfontein,South Africa,True,False,137,0.45945945945945943,0.0,0.5405405405405405,1.5405405405405403,0.45945945945945943,0.0,0.45945945945945943,0.0
2010-06-26,Uruguay,South Korea,2.0,1.0,FIFA World Cup,Port Elizabeth,South Africa,True,False,138,1.379980563654033,2.0123372555978833,0.0,1.8255128494295794,0.7191448007774539,0.42875385598033383,1.0,0.2808551992225461
2010-06-26,United States,Ghana,1.0,2.0,FIFA World Cup,Rustenburg,South Africa,True,False,139,1.3304178814382897,0.6671950561015028,0.9416909620991254,0.7063529169213286,0.38872691933916426,0.4258420988061832,0.38872691933916426,0.4258420988061832
2010-06-27,Argentina,Mexico,3.0,1.0,FIFA World Cup,Johannesburg,South Africa,True,False,140,2.379980563654033,0.9416909620991254,0.3304178814382896,0.6695821185617103,1.0,0.3304178814382896,0.6695821185617103,0.3304178814382896
2010-06-27,Germany,England,4.0,1.0,FIFA World Cup,Bloemfontein,South Africa,True,False,141,1.5121477162293488,0.6695821185617103,0.3304178814382896,0.28085519922254615,0.6695821185617103,0.38872691933916426,0.6695821185617103,0.7191448007774539
2010-06-28,Brazil,Chile,3.0,0.0,FIFA World Cup,Johannesburg,South Africa,True,False,142,1.5529640427599611,1.0,0.6112730806608357,0.7774538386783285,0.6112730806608357,0.6112730806608357,0.38872691933916426,0.6112730806608357
2010-06-28,Netherlands,Slovakia,2.0,1.0,FIFA World Cup,Durban,South Africa,True,False,143,1.6695821185617103,1.4470359572400389,0.38872691933916426,1.719144800777454,1.0,0.38872691933916426,0.6112730806608357,0.0
